id,date,strong_team,weak_team,win,tournament
988,2016-10-11,Chile,Peru,1,FIFA World Cup qualification
989,2016-10-11,Uruguay,Colombia,0,FIFA World Cup qualification
990,2016-10-11,Germany,Northern Ireland,1,FIFA World Cup qualification
991,2016-10-11,England,Slovenia,0,FIFA World Cup qualification
992,2016-10-11,Brazil,Venezuela,1,FIFA World Cup qualification
993,2016-11-09,Belgium,Netherlands,0,Friendly
994,2016-11-10,Brazil,Argentina,1,FIFA World Cup qualification
995,2016-11-10,Chile,Colombia,0,FIFA World Cup qualification
996,2016-11-10,Paraguay,Peru,0,FIFA World Cup qualification
997,2016-11-10,Uruguay,Ecuador,1,FIFA World Cup qualification
998,2016-11-10,Venezuela,Bolivia,1,FIFA World Cup qualification
999,2016-11-11,Czech Republic,Norway,1,FIFA World Cup qualification
1000,2016-11-11,England,Scotland,1,FIFA World Cup qualification
1001,2016-11-11,France,Sweden,1,FIFA World Cup qualification
1002,2016-11-11,Poland,Romania,1,FIFA World Cup qualification
1003,2016-11-12,Austria,Ireland,0,FIFA World Cup qualification
1004,2016-11-14,Poland,Slovenia,0,Friendly
1005,2016-11-15,Argentina,Colombia,1,FIFA World Cup qualification
1006,2016-11-15,Paraguay,Bolivia,0,FIFA World Cup qualification
1007,2016-11-15,Uruguay,Chile,0,FIFA World Cup qualification
1008,2016-11-15,Denmark,Czech Republic,0,Friendly
1009,2016-11-15,Ecuador,Venezuela,1,FIFA World Cup qualification
1010,2016-11-15,Spain,England,0,Friendly
1011,2016-11-15,France,Ivory Coast,0,Friendly
1012,2016-11-15,Germany,Italy,0,Friendly
1013,2016-11-15,Brazil,Peru,1,FIFA World Cup qualification
1014,2016-11-15,Russia,Romania,1,Friendly
1015,2017-01-08,Ivory Coast,Sweden,1,Friendly
1016,2017-01-26,Brazil,Colombia,1,Friendly
1017,2017-02-05,Egypt,Cameroon,0,African Cup of Nations
1018,2017-03-22,Germany,England,1,Friendly
1019,2017-03-22,Scotland,Canada,0,Friendly
1020,2017-03-23,Argentina,Chile,1,FIFA World Cup qualification
1021,2017-03-23,Colombia,Bolivia,1,FIFA World Cup qualification
1022,2017-03-23,Paraguay,Ecuador,1,FIFA World Cup qualification
1023,2017-03-23,Brazil,Uruguay,1,FIFA World Cup qualification
1024,2017-03-23,Venezuela,Peru,0,FIFA World Cup qualification
1025,2017-03-24,Ireland,Wales,0,FIFA World Cup qualification
1026,2017-03-24,Russia,Ivory Coast,0,Friendly
1027,2017-03-24,Turkey,Finland,1,FIFA World Cup qualification
1028,2017-03-25,Belgium,Greece,0,FIFA World Cup qualification
1029,2017-03-25,Netherlands,Bulgaria,0,FIFA World Cup qualification
1030,2017-03-25,Portugal,Hungary,1,FIFA World Cup qualification
1031,2017-03-26,Norway,Northern Ireland,0,FIFA World Cup qualification
1032,2017-03-26,Denmark,Romania,0,FIFA World Cup qualification
1033,2017-03-26,Scotland,Slovenia,1,FIFA World Cup qualification
1034,2017-03-28,Austria,Finland,0,Friendly
1035,2017-03-28,Argentina,Bolivia,0,FIFA World Cup qualification
1036,2017-03-28,Brazil,Paraguay,1,FIFA World Cup qualification
1037,2017-03-28,Chile,Venezuela,1,FIFA World Cup qualification
1038,2017-03-28,Colombia,Ecuador,1,FIFA World Cup qualification
1039,2017-03-28,Spain,France,1,Friendly
1040,2017-03-28,Italy,Netherlands,1,Friendly
1041,2017-03-28,Uruguay,Peru,0,FIFA World Cup qualification
1042,2017-03-28,Portugal,Sweden,0,Friendly
1043,2017-03-28,Belgium,Russia,0,Friendly
1044,2017-06-01,Mexico,Ireland,1,Friendly
1045,2017-06-02,France,Paraguay,1,Friendly
1046,2017-06-03,USA,Venezuela,0,Friendly
1047,2017-06-04,Uruguay,Ireland,0,Friendly
1048,2017-06-04,Netherlands,Ivory Coast,1,Friendly
1049,2017-06-05,Belgium,Czech Republic,1,Friendly
1050,2017-06-05,Russia,Hungary,1,Friendly
1051,2017-06-06,Germany,Denmark,0,Friendly
1052,2017-06-07,Italy,Uruguay,1,Friendly
1053,2017-06-07,Spain,Colombia,0,Friendly
1054,2017-06-08,Ecuador,Venezuela,0,Friendly
1055,2017-06-08,Paraguay,Peru,0,Friendly
1056,2017-06-09,Brazil,Argentina,0,Friendly
1057,2017-06-09,Chile,Russia,0,Friendly
1058,2017-06-09,France,Sweden,0,FIFA World Cup qualification
1059,2017-06-10,Czech Republic,Norway,0,FIFA World Cup qualification
1060,2017-06-10,Poland,Romania,1,FIFA World Cup qualification
1061,2017-06-10,England,Scotland,0,FIFA World Cup qualification
1062,2017-06-11,Austria,Ireland,0,FIFA World Cup qualification
1063,2017-06-11,Mexico,USA,0,FIFA World Cup qualification
1064,2017-06-13,Brazil,Australia,1,Friendly
1065,2017-06-13,Colombia,Cameroon,1,Friendly
1066,2017-06-13,France,England,1,Friendly
1067,2017-06-13,Sweden,Norway,0,Friendly
1068,2017-06-13,Chile,Romania,0,Friendly
1069,2017-06-18,Chile,Cameroon,1,Confederations Cup
1070,2017-06-18,Portugal,Mexico,0,Confederations Cup
1071,2017-06-19,Germany,Australia,1,Confederations Cup
1072,2017-06-21,Portugal,Russia,1,Confederations Cup
1073,2017-06-22,Australia,Cameroon,0,Confederations Cup
1074,2017-06-22,Germany,Chile,0,Confederations Cup
1075,2017-06-24,Mexico,Russia,1,Confederations Cup
1076,2017-06-25,Chile,Australia,0,Confederations Cup
1077,2017-06-25,Germany,Cameroon,1,Confederations Cup
1078,2017-06-28,Portugal,Chile,0,Confederations Cup
1079,2017-06-29,Germany,Mexico,1,Confederations Cup
1080,2017-07-01,Mexico,Paraguay,1,Friendly
1081,2017-07-02,Germany,Chile,1,Confederations Cup
1082,2017-07-02,Portugal,Mexico,1,Confederations Cup
1083,2017-08-31,Brazil,Ecuador,1,FIFA World Cup qualification
1084,2017-08-31,Sweden,Bulgaria,0,FIFA World Cup qualification
1085,2017-08-31,Chile,Paraguay,0,FIFA World Cup qualification
1086,2017-08-31,France,Netherlands,1,FIFA World Cup qualification
1087,2017-08-31,Peru,Bolivia,1,FIFA World Cup qualification
1088,2017-08-31,Argentina,Uruguay,0,FIFA World Cup qualification
1089,2017-08-31,Colombia,Venezuela,0,FIFA World Cup qualification
1090,2017-09-01,Germany,Czech Republic,1,FIFA World Cup qualification
1091,2017-09-01,Poland,Denmark,0,FIFA World Cup qualification
1092,2017-09-02,Spain,Italy,1,FIFA World Cup qualification
1093,2017-09-02,Austria,Wales,0,FIFA World Cup qualification
1094,2017-09-03,Belgium,Greece,1,FIFA World Cup qualification
1095,2017-09-03,Portugal,Hungary,1,FIFA World Cup qualification
1096,2017-09-03,Netherlands,Bulgaria,1,FIFA World Cup qualification
1097,2017-09-04,Germany,Norway,1,FIFA World Cup qualification
1098,2017-09-04,Czech Republic,Northern Ireland,0,FIFA World Cup qualification
1099,2017-09-05,Argentina,Venezuela,0,FIFA World Cup qualification
1100,2017-09-05,Chile,Bolivia,0,FIFA World Cup qualification
1101,2017-09-05,Brazil,Colombia,0,FIFA World Cup qualification
1102,2017-09-05,Ecuador,Peru,0,FIFA World Cup qualification
1103,2017-09-05,Uruguay,Paraguay,1,FIFA World Cup qualification
1104,2017-10-05,Argentina,Peru,0,FIFA World Cup qualification
1105,2017-10-05,Brazil,Bolivia,0,FIFA World Cup qualification
1106,2017-10-05,Chile,Ecuador,1,FIFA World Cup qualification
1107,2017-10-05,Colombia,Paraguay,0,FIFA World Cup qualification
1108,2017-10-05,England,Slovenia,1,FIFA World Cup qualification
1109,2017-10-05,Germany,Northern Ireland,1,FIFA World Cup qualification
1110,2017-10-05,Uruguay,Venezuela,0,FIFA World Cup qualification
1111,2017-10-06,Turkey,Iceland,0,FIFA World Cup qualification
1112,2017-10-07,France,Bulgaria,1,FIFA World Cup qualification
1113,2017-10-07,Switzerland,Hungary,1,FIFA World Cup qualification
1114,2017-10-08,Denmark,Romania,0,FIFA World Cup qualification
1115,2017-10-08,Norway,Northern Ireland,1,FIFA World Cup qualification
1116,2017-10-08,Slovenia,Scotland,0,FIFA World Cup qualification
1117,2017-10-09,Turkey,Finland,0,FIFA World Cup qualification
1118,2017-10-09,Wales,Ireland,0,FIFA World Cup qualification
1119,2017-10-10,Brazil,Chile,1,FIFA World Cup qualification
1120,2017-10-10,Argentina,Ecuador,1,FIFA World Cup qualification
1121,2017-10-10,Netherlands,Sweden,1,FIFA World Cup qualification
1122,2017-10-10,Paraguay,Venezuela,0,FIFA World Cup qualification
1123,2017-10-10,Colombia,Peru,0,FIFA World Cup qualification
1124,2017-10-10,Portugal,Switzerland,1,FIFA World Cup qualification
1125,2017-10-10,Uruguay,Bolivia,1,FIFA World Cup qualification
1126,2017-11-08,Czech Republic,Iceland,1,Friendly
1127,2017-11-09,Switzerland,Northern Ireland,1,FIFA World Cup qualification
1128,2017-11-09,Turkey,Romania,0,Friendly
1129,2017-11-09,Netherlands,Scotland,1,Friendly
1130,2017-11-10,Belgium,Mexico,0,Friendly
1131,2017-11-10,Germany,England,0,Friendly
1132,2017-11-10,France,Wales,1,Friendly
1133,2017-11-10,Uruguay,Poland,0,Friendly
1134,2017-11-10,Portugal,Saudi Arabia,1,Friendly
1135,2017-11-10,Italy,Sweden,0,FIFA World Cup qualification
1136,2017-11-11,Denmark,Ireland,0,FIFA World Cup qualification
1137,2017-11-11,Peru,New Zealand,0,FIFA World Cup qualification
1138,2017-11-11,Argentina,Russia,1,Friendly
1139,2017-11-12,Switzerland,Northern Ireland,0,FIFA World Cup qualification
1140,2017-11-13,Saudi Arabia,Bulgaria,0,Friendly
1141,2017-11-13,Italy,Sweden,0,FIFA World Cup qualification
1142,2017-11-13,Poland,Mexico,0,Friendly
1143,2017-11-14,Uruguay,Austria,0,Friendly
1144,2017-11-14,Colombia,China,1,Friendly
1145,2017-11-14,Brazil,England,0,Friendly
1146,2017-11-14,Germany,France,0,Friendly
1147,2017-11-14,Denmark,Ireland,1,FIFA World Cup qualification
1148,2017-11-14,Portugal,USA,0,Friendly
1149,2017-11-14,Netherlands,Romania,1,Friendly
1150,2017-11-14,Spain,Russia,0,Friendly
1151,2017-11-15,Peru,New Zealand,1,FIFA World Cup qualification
1152,2018-01-11,Denmark,Sweden,0,Friendly
1153,2018-03-22,Wales,China,1,Friendly
1154,2018-03-23,Austria,Slovenia,1,Friendly
1155,2018-03-23,France,Colombia,0,Friendly
1156,2018-03-23,Spain,Germany,0,Friendly
1157,2018-03-23,Switzerland,Greece,1,Friendly
1158,2018-03-23,Italy,Argentina,0,Friendly
1159,2018-03-23,Mexico,Iceland,1,Friendly
1160,2018-03-23,England,Netherlands,1,Friendly
1161,2018-03-23,Norway,Australia,1,Friendly
1162,2018-03-23,Portugal,Egypt,1,Friendly
1163,2018-03-23,Brazil,Russia,1,Friendly
1164,2018-03-23,Turkey,Ireland,1,Friendly
1165,2018-03-23,Uruguay,Czech Republic,1,Friendly
1166,2018-03-24,Canada,New Zealand,1,Friendly
1167,2018-03-24,Chile,Sweden,1,Friendly
1168,2018-03-26,Czech Republic,China,1,Friendly
1169,2018-03-26,Portugal,Netherlands,0,Friendly
1170,2018-03-26,Uruguay,Wales,1,Friendly
1171,2018-03-27,Colombia,Australia,0,Friendly
1172,2018-03-27,Belgium,Saudi Arabia,1,Friendly
1173,2018-03-27,Denmark,Chile,0,Friendly
1174,2018-03-27,Italy,England,0,Friendly
1175,2018-03-27,Germany,Brazil,0,Friendly
1176,2018-03-27,Greece,Egypt,1,Friendly
1177,2018-03-27,Scotland,Hungary,1,Friendly
1178,2018-03-27,Peru,Iceland,1,Friendly
1179,2018-03-27,Sweden,Romania,0,Friendly
1180,2018-03-27,France,Russia,1,Friendly
1181,2018-03-27,Spain,Argentina,1,Friendly
1182,2018-03-27,USA,Paraguay,1,Friendly
1183,2018-05-15,Greece,Saudi Arabia,0,Friendly
